resource_id,role
86444,role_0
86446,role_0
86447,role_0
86449,role_0
86450,role_0
86451,role_0
86452,role_0
86453,role_0
86454,role_0
86455,role_0
86456,role_0
86458,role_0
86459,role_0
86460,role_0
86461,role_0
86462,role_0
86463,role_0
86464,role_0
86466,role_0
86467,role_0
86469,role_0
86470,role_0
86471,role_0
86472,role_0
86473,role_0
86474,role_0
86476,role_0
86477,role_0
86479,role_0
86480,role_1
86482,role_0
86483,role_0
86484,role_0
86486,role_0
86487,role_0
86488,role_0
86490,role_0
86491,role_0
86492,role_0
86493,role_0
86494,role_0
86495,role_0
86497,role_0
86498,role_0
86499,role_0
86500,role_0
86501,role_0
86502,role_0
86503,role_0
86504,role_0
86505,role_0
86506,role_0
86509,role_0
86510,role_0
86511,role_0
86512,role_0
86513,role_0
86514,role_0
86516,role_0
86517,role_0
86519,role_0
86520,role_0
86521,role_0
86523,role_0
86524,role_3
86525,role_0
86526,role_0
86528,role_0
86530,role_0
86531,role_0
86532,role_0
86533,role_0
86534,role_0
86537,role_0
86538,role_0
86539,role_0
86540,role_0
86541,role_0
86544,role_0
86545,role_0
86546,role_0
86547,role_0
86548,role_0
86549,role_0
86550,role_0
86551,role_0
86552,role_0
86554,role_0
86555,role_0
86556,role_0
86557,role_0
86558,role_0
86559,role_0
86560,role_0
86561,role_0
86562,role_0
86563,role_0
86564,role_0
86565,role_0
86566,role_0
86568,role_0
86569,role_0
86570,role_0
86571,role_0
86572,role_0
86573,role_0
86574,role_0
86578,role_0
86579,role_0
86581,role_0
86582,role_0
86583,role_0
86584,role_0
86585,role_0
86586,role_0
86587,role_0
86588,role_0
86589,role_0
86590,role_0
86591,role_0
86592,role_0
86593,role_0
86595,role_0
86596,role_0
86597,role_0
86598,role_0
86603,role_0
86604,role_0
86605,role_0
86606,role_0
86607,role_0
86609,role_0
86610,role_0
86611,role_0
86612,role_3
86613,role_0
86614,role_0
86615,role_0
86616,role_0
86617,role_0
86618,role_0
86619,role_0
86620,role_0
86621,role_0
86622,role_0
86623,role_0
86624,role_0
86625,role_0
86627,role_0
86628,role_0
86629,role_0
86630,role_0
86631,role_0
86635,role_0
86637,role_0
86638,role_0
86639,role_0
86640,role_0
86641,role_0
86642,role_0
86643,role_0
86644,role_0
86646,role_0
86647,role_0
86648,role_0
86650,role_0
86651,role_0
86652,role_0
86653,role_0
86654,role_0
86655,role_0
86657,role_0
86658,role_0
86659,role_0
86660,role_0
86661,role_0
86662,role_0
86664,role_0
86665,role_0
86666,role_0
86667,role_0
86668,role_0
86670,role_0
86671,role_0
86672,role_0
86673,role_0
86675,role_0
86676,role_0
86677,role_0
86678,role_0
86679,role_0
86680,role_0
86682,role_0
86683,role_0
86684,role_0
86685,role_0
86688,role_0
86689,role_0
86691,role_0
86692,role_0
86693,role_0
86694,role_0
86695,role_0
86696,role_1
86697,role_0
86699,role_0
86700,role_0
86702,role_0
86704,role_0
86705,role_0
86706,role_0
86710,role_0
86711,role_0
86712,role_0
86713,role_0
86715,role_0
86716,role_0
86717,role_0
86718,role_0
86719,role_0
86721,role_3
86722,role_0
86723,role_0
86724,role_0
86725,role_0
86726,role_0
86727,role_0
86728,role_0
86729,role_0
86730,role_0
86731,role_0
86732,role_0
86733,role_0
86734,role_0
86736,role_0
86738,role_0
86739,role_0
86740,role_0
86741,role_0
86742,role_0
86743,role_0
86746,role_0
86747,role_0
86748,role_0
86749,role_0
86751,role_0
86752,role_0
86754,role_0
86755,role_0
86757,role_0
86758,role_0
86759,role_0
86760,role_0
86761,role_0
86762,role_0
86763,role_0
86764,role_0
86766,role_0
86767,role_0
86768,role_0
86769,role_0
86770,role_0
86771,role_0
86772,role_0
86774,role_0
86775,role_0
86776,role_0
86777,role_0
86778,role_0
86779,role_0
86780,role_0
86781,role_0
86782,role_0
86784,role_0
86785,role_0
86786,role_0
86787,role_0
86788,role_0
86789,role_0
86791,role_0
86792,role_0
86793,role_0
86794,role_0
86795,role_0
86796,role_0
86797,role_0
86799,role_0
86800,role_0
86801,role_0
86802,role_0
86804,role_0
86805,role_0
86806,role_0
86807,role_0
86808,role_0
86809,role_0
86810,role_0
86811,role_0
86812,role_0
86814,role_0
86816,role_0
86817,role_0
86818,role_0
86820,role_0
86821,role_0
86822,role_0
86823,role_0
86824,role_0
86825,role_0
86827,role_0
86828,role_0
86829,role_0
86830,role_0
86831,role_0
86833,role_0
86834,role_0
86836,role_0
86837,role_0
86838,role_0
86840,role_0
86841,role_0
86842,role_0
86843,role_0
86844,role_0
86845,role_0
86846,role_0
86847,role_0
86849,role_0
86850,role_0
86852,role_0
86854,role_0
86855,role_0
86856,role_0
86857,role_0
86858,role_0
86859,role_0
86860,role_0
86863,role_0
86864,role_0
86866,role_0
86867,role_0
86868,role_0
86870,role_0
86871,role_0
86872,role_0
86873,role_0
86874,role_0
86875,role_0
86876,role_0
86877,role_0
86878,role_0
86880,role_0
86881,role_0
86883,role_0
86885,role_0
86886,role_0
86887,role_0
86888,role_0
86890,role_0
86891,role_0
86893,role_0
86894,role_0
86896,role_0
86897,role_0
86898,role_0
